Ln,Part,Description,Due Date,Qty,Amount,Unit Price,Extended Price,Order Date,Grand Total,PO
1,L771420,L771420 [NUT FOR CLAMP CYLINDER ISGS 610] DATE,6/27/2025,3.00,0,0.00,295.00,05/22/2025,885.0,00154360
1,647W5603,647W5603 [SLID,,,0,3.00,0.00,11/05/2024,8451.0,00145286
2,8X20BS,8X20BS [BRASS,,,0,12.00,0.00,11/05/2024,8451.0,00145286
3,9X457902,9X457902 [LINK,,,0,2.00,0.00,11/05/2024,8451.0,00145286
4,9X457904,9X457904 [TIE B,,,0,4.00,0.00,11/05/2024,8451.0,00145286
5,9X457903,9X457903 [LINK,,,0,2.00,0.00,11/05/2024,8451.0,00145286
6,9X457905,9X457905 [BUSH,,,0,3.00,0.00,11/05/2024,8451.0,00145286
1,TMV0198,TMV0198 [CLAMP WEAR STRIP EC720SX 978 X 115MM],10/17/2024,2.00,0,0.00,395.00,10/14/2024,790.0,00144198
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J] * DATE**,12/8/2017,2.00,0,0.00,250.00,11/15/2017,500.0,00033304
1,9W306305,9W306305 [LINK PIN],12/27/2019,6.00,0,0.00,1250.00,12/03/2019,7500.0,00071137
1,415R6702,415R6702 [SPROCKET] * SEND OUT UPON RECEIPT OF PO**,10/19/2017,5.00,0,0.00,100.00,10/12/2017,500.0,00031507
1,647W6503,647W6503 [SLIDE PLATE ] DATE,1/30/2023,4.00,0,0.00,425.00,12/21/2022,1700.0,00114787
1,Y193537,Y193537 [DOG FOR SAFETY HOOK SHAFT N127433] DATE,5/15/2024,3.00,0,0.00,220.00,04/09/2024,660.0,00135749
1,L698749,L698749 [PACKING RETAINER FOR INJECTION IS I59 I81],11/1/2024,1.00,0,0.00,1435.00,09/27/2024,1435.0,00143436
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] DATE,11/7/2022,2.00,0,0.00,2225.00,09/28/2022,4450.0,00111416
1,H3253O5,H325305 [EJECTOR PLATE* * PODATE**,2/23/2018,1.00,0,0.00,3805.00,01/24/2018,3805.0,00036917
1,Y065295,Y065295[PLATE],,,0,6.00,91.50,08/20/2018,711.5,00048205
2,622V9601,622V9601[SPACER PLATE],,,0,4.00,620.00,08/20/2018,711.5,00048205
1,H39575G01,H39575G01 [INJECTION COUPLING DC800JMS ] DATE,5/20/2022,2.00,0,0.00,2780.00,04/15/2022,5560.0,00105339
1,695R1601,695R1601 [LOCK NUT] DATE,3/28/2025,3.00,0,0.00,50.00,03/05/2025,150.0,00150476
1,TMH0577,TMH0577 [IDLER] TMH0577 [IDLER],1/17/2023,1.00,0,0.00,275.00,12/13/2022,275.0,00114546
1,S978456,S978456 [PUMP FLANGE F/IPS NEW TYPE PUMP ISGSW GT IS- DG] DATE,6/27/2025,2.00,0,0.00,525.00,05/19/2025,1050.0,00154162
1,236W0801,236W0801 [COUPLING DC3500CS] DATE,1/11/2022,1.00,0,0.00,3820.00,11/30/2021,3820.0,00100255
1,640R4801,640R4801 [SPRING HOLDER] DATE,8/2/2019,1.00,0,0.00,85.00,07/19/2019,85.0,00064738
1,N069896,N069896 [DOOR RAIL DC2500CS-2] *DELIVERY; 7 WEEKS FROM PO DATE,11/29/2017,1.00,0,0.00,975.00,10/04/2017,975.0,00031077
1,695R1601,695R1601 [LOCK NUT] DATE,11/30/2020,1.00,0,0.00,47.50,10/21/2020,47.5,00084182
1,459V5101,459V5101 [JIB PLATE] DATE,11/11/2020,4.00,0,0.00,320.00,10/15/2020,1280.0,00083834
1,9W4210G04,9W4210G04 [COOLING PIPE ASSY],7/28/2017,4.00,0,0.00,405.00,06/30/2017,1620.0,00025995
1,655S3602,655S3602 [BLOCK],,,0,1.00,370.00,10/11/2019,740.0,00068895
2,655S3601,655S3601 [BLOCK],,,0,1.00,370.00,10/11/2019,740.0,00068895
1,9X5163G01,9X5163G01 [COOLING PIPE ASSEMBLY] DATE,3/16/2021,1.00,0,0.00,395.00,02/09/2021,395.0,00088785
1,S478872,S478872 [BRACKET,,4.00,0,0.00,250.00,06/03/2025,3215.0,00154822
2,S478872,S478872 [BRACKET,,1.00,0,0.00,250.00,06/03/2025,3215.0,00154822
3,TML0026,TML0026 [LINK PIN,,3.00,0,0.00,655.00,06/03/2025,3215.0,00154822
1,N066877,N066877 [INJECTION BUSHING],,2018,0,1.00,2145.00,05/10/2018,4345.0,00042926
2,H319551,H319551 [SEAT C2G16],,2018,0,1.00,2200.00,05/10/2018,4345.0,00042926
1,Y026064,Y026064[GUIDE SHAFT] QUOTE: 10619 DATE,11/30/2017,4.00,0,0.00,75.00,10/04/2017,300.0,00031076
1,L459974,L459974 [BARREL END CAP 40MM 4A 5A 7Y] DATE,4/11/2025,2.00,0,0.00,485.00,03/04/2025,970.0,00150305
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] DATE,3/1/2023,2.00,0,0.00,2325.00,01/24/2023,4650.0,00115659
1,N020124,N020124 [LINER FOR DC2500CS2] DATE,2/12/2019,2.00,0,0.00,3450.00,01/09/2019,6900.0,00055269
1,M158435,M158435 [NOZZLE END CAP 25MM 1A EC SX 7/8-14 M48 122MM OAL],5/16/2025,1.00,0,0.00,750.00,04/03/2025,750.0,00151769
1,N066879,N066879 [POPPET,,2017,0,1.00,0.00,06/07/2017,3420.0,00024484
2,N054085,N054085 [PISTON,,2017,0,1.00,0.00,06/07/2017,3420.0,00024484
3,Y074129,Y074129 [FLANGE,,2017,0,1.00,0.00,06/07/2017,3420.0,00024484
1,650T5001,650T5001 [SPRING KEEPER FOR DHS-T] * DATE**,3/8/2018,5.00,0,0.00,125.00,01/24/2018,625.0,00036916
1,H323583,H323583 [INJECTION BUSHING] DATE,2/17/2021,1.00,0,0.00,1575.00,01/13/2021,1575.0,00087475
1,Y132076,Y132076 [ELECTRODE PROBE CHROME] DATE,11/15/2021,6.00,0,0.00,65.00,10/11/2021,390.0,00098555
1,685R1002,685R1002 [ELECTRODE],,,0,12.00,684.00,08/14/2018,1412.0,00047889
2,685R1001,685R1001 [ELECTRODE ROD ],,,0,14.00,728.00,08/14/2018,1412.0,00047889
1,9X924601,9X924601 [BUSHING] DATE,4/8/2022,2.00,0,0.00,545.00,03/04/2022,1090.0,00103761
1,624T0004,624T0004 [SPACER] DATE,11/4/2022,1.00,0,0.00,185.00,09/28/2022,185.0,00111417
1,Y057218,Y057218 [SHAFT] *DELIVERY; 5 WEEKS FROM PO DATE,12/25/2018,1.00,0,0.00,425.00,11/20/2018,425.0,00053156
1,S661823,S661823 [SET,,0.00,0,27.50,110.00,01/24/2023,1990.0,00115671
2,TMT0009,TMT0009 [LIN,,0.00,0,425.00,425.00,01/24/2023,1990.0,00115671
3,TMT0008,TMT0008 [LIN,,0.00,0,1455.00,1455.00,01/24/2023,1990.0,00115671
1,N069222,N069222 [EJECTOR ROD] DATE,4/16/2024,2.00,0,0.00,2375.00,03/11/2024,4750.0,00134330
1,647W6501,647W6501 [SLIDE PLATE (DC500CL-HT)] DATE,1/25/2023,8.00,0,0.00,355.00,12/21/2022,2840.0,00114786
1,Y058255,Y058255 [NUT FOR GUIDE BAR] DATE,1/25/2023,3.00,0,0.00,785.00,12/21/2022,2355.0,00114792
1,N049364,N049364 [LADLE SHAFT] *DELIVERY; 3 WEEKS FROM PO DATE,8/17/2018,2.00,0,0.00,1250.00,07/27/2018,2500.0,00046956
1,L771624,L771624 [NUT FOR,,2.00,0,0.00,405.00,11/05/2024,7650.0,00145293
2,LKL0020,LKL0020 [TIE BAR,,1.00,0,0.00,915.00,11/05/2024,7650.0,00145293
3,LML0112,[TIE BAR EC180SX,,1.00,0,0.00,5215.00,11/05/2024,7650.0,00145293
4,S576705,S576705 [NUT FO,,2.00,0,0.00,355.00,11/05/2024,7650.0,00145293
1,9X818901,9X818901 [BUSHING],2/21/2020,2.00,0,0.00,775.00,12/03/2019,1550.0,00071136
1,Y037685,Y037685 [SLIDE BAR] * PO DATE**,11/2/2017,2.00,0,0.00,910.00,10/16/2017,1820.0,00031512
1,236W0801,236W0801 [COUPLING DC3500CS] DATE,6/13/2025,1.00,0,0.00,3995.00,05/01/2025,3995.0,00153368
1,Y026322,Y026322 [CYLINDER JOINT] DATE,3/28/2025,1.00,0,0.00,195.00,02/12/2025,195.0,00149456
1,Y071004,Y071004 [FLANGE] DATE,3/30/2023,1.00,0,0.00,285.00,03/01/2023,285.0,00117258
1,N079961,N079961 [JOINT BLOCK] DATE,5/17/2024,1.00,0,0.00,995.00,04/12/2024,995.0,00135947
1,647W5603,647W5603 [SLIDE PLATE FOR,,,0,8.00,0.00,12/09/2020,4407.0,00086227
2,N002727,N002727 [SHAFT],,,0,1.00,0.00,12/09/2020,4407.0,00086227
3,9X976004,9X976004 [ROD JOINT],,,0,1.00,0.00,12/09/2020,4407.0,00086227
4,Y049547,Y049547 [CASE],,,0,1.00,0.00,12/09/2020,4407.0,00086227
5,Y015907,Y015907 [CASE GUIDE],,,0,1.00,0.00,12/09/2020,4407.0,00086227
6,Y052733,Y052733 [SPACER],,,0,1.00,0.00,12/09/2020,4407.0,00086227
1,N124500,N124500 [PLUNGER SLEEVE] *QUOTE; 12255 DATE,7/26/2022,4.00,0,0.00,2985.00,06/14/2022,11940.0,00107705
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] SOONER FROM PO DATE,8/11/2020,2.00,0,0.00,2225.00,07/14/2020,4450.0,00080118
1,Y084104,Y084104 [BUSHING FOR SAFETY HOOK] DATE,11/18/2020,2.00,0,0.00,165.00,11/11/2020,330.0,00085060
1,3F0222,3F0222 [WELDMENT BRACKET],9/22/2023,1.00,0,0.00,1870.00,09/20/2023,1870.0,00126126
1,624T0003,624T0003 [SPACER],,2024,0,2.00,0.00,02/20/2024,7170.0,00133259
3,637R2701,637R2701 [PIN],,2024,0,1.00,0.00,02/20/2024,7170.0,00133259
4,647W6501,647W6501 [SLIDE PLATE,,2024,0,4.00,0.00,02/20/2024,7170.0,00133259
5,H39579G01,H39579G01[COUPLING,,2024,0,2.00,0.00,02/20/2024,7170.0,00133259
7,Y007086,Y007086 [ STOPPER STA,,2024,0,1.00,0.00,02/20/2024,7170.0,00133259
8,Y037186,Y037186 [JOINT],,2024,0,1.00,0.00,02/20/2024,7170.0,00133259
9,Y102652,Y102652 [ELECTRODE R,,2024,0,2.00,0.00,02/20/2024,7170.0,00133259
1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T],7/5/2017,5.00,0,0.00,47.50,06/21/2017,237.5,00025349
1,Y003999,Y003999 [SPROCKET],,2017,0,5.00,0.00,06/21/2017,2900.0,00025407
2,Y019691,Y019691 [BUSHING],,2017,0,10.00,0.00,06/21/2017,2900.0,00025407
3,N013391,N013391 [SHAFT FOR POUR,,2017,0,2.00,0.00,06/21/2017,2900.0,00025407
1,Y026322,Y026322 [CYLINDER JOINT] DATE,7/13/2023,1.00,0,0.00,155.00,06/07/2023,155.0,00121675
1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T] DATE,12/22/2023,4.00,0,0.00,60.00,11/09/2023,240.0,00128645
1,6W261903,6W261903 [BUSHING] DATE,3/9/2020,1.00,0,0.00,1450.00,02/03/2020,1450.0,00073655
1,N072875,N072875 [LADLE ARM(SPECIAL 5/7/,,2019,0,1.00,2675.00,04/02/2019,3335.0,00059725
2,637R3501,637R3501 [SPROCKET] 5/7/,,2019,0,6.00,660.00,04/02/2019,3335.0,00059725
1,469R8911,469R8911[BUSHING],,2.00,0,0.00,2995.00,08/19/2021,47570.0,00096626
2,469R8909,469R8909 [TIE BAR BUSHING,,8.00,0,0.00,2560.00,08/19/2021,47570.0,00096626
3,6T157701,6T157701 [BUSHING],,2.00,0,0.00,955.00,08/19/2021,47570.0,00096626
4,6T252401,6T252401 [BUSHING],,2.00,0,0.00,1295.00,08/19/2021,47570.0,00096626
5,N073196,N073196 [BUSHING FOR,,8.00,0,0.00,2075.00,08/19/2021,47570.0,00096626
1,N048833,N048833 [DOG] DATE,12/13/2021,2.00,0,0.00,295.00,11/08/2021,590.0,00099515
1,Y122756,Y122756 [EJECTOR ROD],,,0,1.00,775.00,12/20/2017,1640.0,00035199
2,Y122757,Y122757 [EJECTOR ROD],,,0,1.00,865.00,12/20/2017,1640.0,00035199
1,H39575G01,H39575G01[COUPLING] DATE,5/13/2021,1.00,0,0.00,3275.00,03/18/2021,3275.0,00090531
1,L771624,L771624 [NUT F,,,0,1.00,0.00,12/19/2024,4225.0,00147255
2,M30,M30 [90593A01,,,0,4.00,0.00,12/19/2024,4225.0,00147255
3,S576705,S576705 [NUT F,,,0,1.00,0.00,12/19/2024,4225.0,00147255
4,TKM0053,TKM0053 [LINK,,,0,2.00,0.00,12/19/2024,4225.0,00147255
5,TKM0054,TKM0054 [LINK,,,0,2.00,0.00,12/19/2024,4225.0,00147255
6,TMW0218,TMW0218 [BRA,,,0,4.00,0.00,12/19/2024,4225.0,00147255
1,H323582,H323582 [INJECTION BUSHING DC650JMS] DATE,1/12/2022,1.00,0,0.00,1235.00,12/08/2021,1235.0,00100678
1,45X47,45X47 [ SHAFT SPACER ] DATE,5/18/2021,1.00,0,0.00,55.00,05/04/2021,55.0,00092468
1,609T1801,609T1801 [KEY],8/3/2018,6.00,0,0.00,135.00,07/09/2018,810.0,00045873
1,9X976004,9X976004 [ROD JOINT] DATE,7/29/2021,2.00,0,0.00,385.00,06/25/2021,770.0,00094596
1,L698749,L698749 [PACKING RETAINER FOR INJECTION IS I59 I81] L698749 [PACKING RETAINER FOR INJECTION IS I59 I81],5/5/2023,1.00,0,0.00,1575.00,04/28/2023,1575.0,00120027
1,Y157511,Y157511 [EJECTOR ROD] * DATE **,12/15/2017,5.00,0,0.00,875.00,11/22/2017,4375.0,00033715
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] DATE,6/13/2022,1.00,0,0.00,2225.00,05/02/2022,2225.0,00106037
1,695T7001,695T7001 [SCREW ROD] DATE,8/16/2018,1.00,0,0.00,500.00,07/19/2018,500.0,00046407
1,603S8303,603S8303 [JOINT FOR SPRAYER DC500JMS] DATE,1/10/2025,1.00,0,0.00,320.00,12/02/2024,320.0,00146375
1,N02477G03,N02477G03 [GUIDE SHAFT] DATE,7/11/2025,1.00,0,0.00,1625.00,06/02/2025,1625.0,00154765
1,H323581,H323581 [INJECTION BUSHING] DATE,11/10/2021,2.00,0,0.00,1875.00,10/06/2021,3750.0,00098409
1,N02477G03,N02477G03 [GUIDE SHAFT] DATE,7/11/2018,2.00,0,0.00,1550.00,05/16/2018,3100.0,00043225
1,S510111,S510111 [TIE BAR NUT ISF ISGS ISDF] S510111 [TIE BAR NUT ISF ISGS ISDF],2/9/2023,1.00,0,0.00,945.00,01/05/2023,945.0,00115077
1,Y003999,Y003999 [SPROCKET] DATE,8/6/2024,3.00,0,0.00,135.00,06/27/2024,405.0,00139589
1,H324098,H324098 [HOLDER] *DELIVERY; 6 WEEKS FROM PO DATE,6/27/2018,1.00,0,0.00,3750.00,05/16/2018,3750.0,00043231
1,362X6102,362X6102 [BUSHING],,2.00,0,0.00,2320.00,06/10/2024,17225.0,00138681
2,362X6101,362X6101 [BUSHING],,2.00,0,0.00,2320.00,06/10/2024,17225.0,00138681
3,393T2401,393T2401 [ INJECTION,,1.00,0,0.00,2755.00,06/10/2024,17225.0,00138681
4,414R8312,414R8312[BUSHING],,2.00,0,0.00,2595.00,06/10/2024,17225.0,00138681
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J] *DELIVERY; 3-4 WEEKS FROM PO DATE,6/13/2018,2.00,0,0.00,250.00,05/16/2018,500.0,00043227
1,4T122502,4T122502 [LEFT SCREW BOLT] DATE,5/29/2020,4.00,0,0.00,45.00,04/27/2020,180.0,00077196
1,9W4210G02,9W4210G02 [COOLING PIPE] DATE,3/28/2019,3.00,0,0.00,335.00,02/28/2019,1005.0,00058175
1,N064799,N064799 [SHAFT],,,0,1.00,775.00,06/26/2019,1325.0,00063685
2,Y052732,Y052732 [CASE],,,0,2.00,550.00,06/26/2019,1325.0,00063685
1,Y033451,Y033451 [SHAFT],,1.00,0,0.00,775.00,10/14/2024,2825.0,00144206
2,Y020058,Y020058 [P SQUARE KEY],,1.00,0,0.00,75.00,10/14/2024,2825.0,00144206
3,H308725,H308725 [FLANGE],,1.00,0,0.00,1975.00,10/14/2024,2825.0,00144206
1,699E1901,[EJECTOR PIN 22MM HEX M16X456MM OAL EC110SX] DATE,8/22/2025,2.00,0,0.00,135.00,07/14/2025,270.0,00156616
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J] DATE,11/25/2020,6.00,0,0.00,275.00,10/16/2020,1650.0,00083995
1,S536680,S536680 [CLAMP WEAR STRIP ISGT720 3523MM OAL] DATE,9/21/2023,2.00,0,0.00,725.00,08/07/2023,1450.0,00124280
1,N064799,N064799 [SHAFT],,,0,2.00,1550.00,06/08/2017,1737.5,00024519
2,Y006297,Y006297 [PIN],,,0,1.00,187.50,06/08/2017,1737.5,00024519
1,647W5603,647W5603 [SLIDE PLATE FOR DC350J] *QUOTE 12311 DATE,5/10/2022,4.00,0,0.00,375.00,03/31/2022,1500.0,00104805
1,609T2110,609T2110 [BUSHING] DATE,7/23/2019,1.00,0,0.00,425.00,06/19/2019,425.0,00063134
1,654V2701,654V2701 [FLANGE ( B )] **DELIVERY; 3 WEEKS FROM PO DATE**,1/12/2018,1.00,0,0.00,475.00,12/22/2017,475.0,00035366
1,637R4101,637R4101 [BUSHING] DATE,9/8/2023,4.00,0,0.00,275.00,08/11/2023,1100.0,00124519
1,Y030066,Y030066 [ROD JOINT] **DELIVERY; 4 WEEKS FROM PO DATE**,12/11/2017,1.00,0,0.00,315.00,11/10/2017,315.0,00033071
1,9X541001,9X541001 [KEY],8/13/2018,4.00,0,0.00,64.00,07/09/2018,256.0,00045871
1,637R3501,637R3501 [SPROCKET] DATE,11/26/2019,3.00,0,0.00,110.00,10/22/2019,330.0,00069357
1,S328315,S328315 [CLAMP,,2.00,0,0.00,1875.00,08/16/2024,5005.0,00141626
2,S677759,S677759 [CLAMP,,2.00,0,0.00,530.00,08/16/2024,5005.0,00141626
3,S576432,S576432 [CLAMP,,1.00,0,0.00,195.00,08/16/2024,5005.0,00141626
1,9W4210G02,9W4210G02 [COOLING PIPE],,,0,1.00,335.00,06/14/2017,520.0,00024900
2,624T0004,624T0004 [SPACER],,,0,1.00,185.00,06/14/2017,520.0,00024900
1,608R2201,608R2201 [LOCK PLATE],,2021,0,6.00,0.00,04/30/2021,2128.0,00092318
2,408S4503,408S4503 [ HAND ],,2021,0,1.00,0.00,04/30/2021,2128.0,00092318
3,408S4504,408S4504 [HAND],,2021,0,1.00,0.00,04/30/2021,2128.0,00092318
1,Y006298,Y006298 [BEACASE] DATE,9/26/2025,1.00,0,0.00,350.00,08/18/2025,350.0,00158405
1,686E1606,686E1606 [BUSHING,,4.00,0,0.00,480.00,02/13/2025,5030.0,00149508
3,TKR0054,TKR0054 [LINK PIN 2,,4.00,0,0.00,395.00,02/13/2025,5030.0,00149508
4,TMM0026,TMM0026 [LINK PIN,,2.00,0,0.00,765.00,02/13/2025,5030.0,00149508
1,4T123401,4T123401 [LADLE PIN] **DELIVERY; 4 WEEKS FROM PO DATE**,4/27/2018,1.00,0,0.00,63.00,03/29/2018,63.0,00040538
1,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM] DATE,6/27/2025,1.00,0,0.00,355.00,05/20/2025,355.0,00154217
1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] ** DATE - URGENT - QUICK DELIVERY REQUESTED***,1/1/2021,1.00,0,0.00,2225.00,12/11/2020,2225.0,00086345
1,625W1701,625W1701 [LINK PIN BUSHING] *SHIPPED DIRECTLY TO HPE - DELIVERIED ON MARCH 24TH,3/26/2018,8.00,0,0.00,625.00,03/26/2018,5000.0,00040289
1,N031988,N031988 [SHAFT],,,0,1.00,0.00,11/14/2019,2440.0,00070410
2,Y033616,Y033616 [SHAFT],,,0,1.00,0.00,11/14/2019,2440.0,00070410
3,Y052730,Y052730 [SHAFT],,,0,1.00,0.00,11/14/2019,2440.0,00070410
4,Y052725,Y052725[SPROCKET],,,0,1.00,0.00,11/14/2019,2440.0,00070410
5,Y052726,Y052726[SPROCKET],,,0,1.00,0.00,11/14/2019,2440.0,00070410
7,Y049547,Y049547 [CASE],,,0,1.00,0.00,11/14/2019,2440.0,00070410
1,Y026064,Y026064[GUIDE SHAFT] DATE,12/15/2020,2.00,0,0.00,75.00,12/01/2020,150.0,00085857
1,Y033453,Y033453 [ADJUSTING SHAFT] DATE,7/12/2022,1.00,0,0.00,635.00,06/14/2022,635.0,00107707
