PO_Number,LineItem_ID,Part_Number,Description,Quantity,Unit_Price,Due_Date,Status
117259,1,Y020020,Y020020 [SHAFT],1,340.00,2023-03-30,Completed
141779,1,TKH0047,TKH0047[SHOE LINER EC720SX 150 X 75MM,2,525.00,2024-09-27,Completed
141779,2,TMV0042,TMV0042 [CLAMP WEAR STRIP EC720SX 1450 X 155MM],2,475.00,2024-09-27,Completed
141779,3,TMV0198,TMV0198 [CLAMP WEAR STRIP EC720SX 978 X 115MM],2,395.00,2024-09-27,Completed
112447,1,TKL0034,TKL0034 [EJECTOR GUIDE BAR EC160N] TKL0034 [EJECTOR GUIDE BAR EC160N],1,595.00,2022-12-05,Completed
154360,1,L771420,L771420 [NUT FOR CLAMP CYLINDER ISGS 610],3,295.00,2025-06-27,Completed
145286,1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],3,390.00,2024-12-13,Completed
145286,2,8X20BS,8X20BS [BRASS SCREWS],12,3.00,2024-12-13,Completed
145286,3,9X457902,9X457902 [LINK PIN BUSHING],2,595.00,2024-12-13,Completed
145286,4,9X457904,9X457904 [TIE BAR BUSHING],4,695.00,2024-12-13,Completed
145286,5,9X457903,9X457903 [LINK PIN BUSHING DC500J-MS],2,550.00,2024-12-13,Completed
145286,6,9X457905,9X457905 [BUSHING],3,725.00,2024-12-13,Completed
144198,1,TMV0198,TMV0198 [CLAMP WEAR STRIP EC720SX 978 X 115MM],2,395.00,2024-10-17,Completed
33304,1,647W5603,647W5603 [SLIDE PLATE FOR DC350J] ,2,250.00,2017-12-08,Completed
71137,1,9W306305,9W306305 [LINK PIN],6,1250.00,2019-12-27,Completed
31507,1,415R6702,415R6702 [SPROCKET] ,5,100.00,2017-10-19,Completed
114787,1,647W6503,647W6503 [SLIDE PLATE ],4,425.00,2023-01-30,Completed
135749,1,Y193537,Y193537 [DOG FOR SAFETY HOOK SHAFT N127433],3,220.00,2024-05-15,Completed
143436,1,L698749,L698749 [PACKING RETAINER FOR INJECTION IS I59 I81],1,1435.00,2024-11-01,Completed
111416,1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT],2,2225.00,2022-11-07,Completed
36917,1,H3253O5,H325305 [EJECTOR PLATE],1,3805.00,2018-02-23,Completed
48205,1,Y065295,Y065295[PLATE],6,15.25,2018-09-24,Completed
48205,2,622V9601,622V9601[SPACER PLATE],4,155.00,2018-09-24,Completed
105339,1,H39575G01,H39575G01 [INJECTION COUPLING DC800JMS ],2,2780.00,2022-05-20,Completed
104027,1,N072802,N072802 [EJECTOR ROD],4,835.00,2022-04-15,Completed
104027,2,Y058255,Y058255 [NUT FOR GUIDE BAR],4,785.00,2022-04-15,Completed
150476,1,695R1601,695R1601 [LOCK NUT],3,50.00,2025-03-28,Completed
114546,1,TMH0577,TMH0577 [IDLER] TMH0577 [IDLER],1,275.00,2023-01-17,Completed
154162,1,S978456,S978456 [PUMP FLANGE F/IPS NEW TYPE PUMP ISGSW GT IS- DG],2,525.00,2025-06-27,Completed
100255,1,236W0801,236W0801 [COUPLING DC3500CS],1,3820.00,2022-01-11,Completed
64738,1,640R4801,640R4801 [SPRING HOLDER],1,85.00,2019-08-02,Completed
31077,1,N069896,N069896 [DOOR RAIL DC2500CS-2],1,975.00,2017-11-29,Completed
154823,1,Y019690,Y019690 [END WASHER],1,35.00,2025-07-11,Completed
154823,2,Y019691,Y019691 [BUSHING],1,145.00,2025-07-11,Completed
90685,1,Y040402,Y040402 [LINER BRONZE DC350J],2,1150.00,2021-05-03,Completed
90685,2,8X20BS,8X20BS [BRASS SCREWS],12,2.75,2021-04-27,Completed
84182,1,695R1601,695R1601 [LOCK NUT],1,47.50,2020-11-30,Completed
83834,1,459V5101,459V5101 [JIB PLATE],4,320.00,2020-11-11,Completed
25995,1,9W4210G04,9W4210G04 [COOLING PIPE ASSY],4,405.00,2017-07-28,Completed
139416,1,Y006298,Y006298 [BEACASE],1,325.00,2024-07-31,Completed
139416,2,Y006502,Y006502 [SPACER],1,120.00,2024-07-31,Completed
68895,1,655S3602,655S3602 [BLOCK],1,370.00,2019-11-08,Completed
68895,2,655S3601,655S3601 [BLOCK],1,370.00,2019-11-08,Completed
88785,1,9X5163G01,9X5163G01 [COOLING PIPE ASSEMBLY],1,395.00,2021-03-16,Completed
154822,1,S478872,S478872 [BRACKET 1 FOR EJECTOR ISGN 90 - 250],4,250.00,2025-07-18,Completed
154822,2,S478872,S478872 [BRACKET 1 FOR EJECTOR ISGN 90 - 250],1,250.00,2025-07-18,Completed
154822,3,TML0026,TML0026 [LINK PIN 1 FOR EC200SX SXII],3,655.00,2025-06-20,Completed
42926,1,N066877,N066877 [INJECTION BUSHING],1,2145.00,2018-06-08,Completed
42926,2,H319551,H319551 [SEAT C2G16],1,2200.00,2018-06-08,Completed
31076,1,Y026064,Y026064[GUIDE SHAFT] ,4,75.00,2017-11-30,Completed
150305,1,L459974,L459974 [BARREL END CAP 40MM 4A 5A 7Y],2,485.00,2025-04-11,Completed
115659,1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT],2,2325.00,2023-03-01,Completed
55269,1,N020124,N020124 [LINER FOR DC2500CS2],2,3450.00,2019-02-12,Completed
91559,1,Y022704,Y022704[SPROCKET],1,305.00,2021-05-12,Completed
91559,2,Y022701,Y022701 [SPROCKET],1,380.00,2021-05-12,Completed
151769,1,M158435,M158435 [NOZZLE END CAP 25MM 1A EC SX 7/8-14 M48 122MM OAL],1,750.00,2025-05-16,Completed
24484,1,N066879,N066879 [POPPET C2G16],1,1795.00,2017-06-07,Completed
24484,2,N054085,N054085 [PISTON HEAD],1,1150.00,2017-06-07,Completed
24484,3,Y074129,Y074129 [FLANGE FOR C2G16],1,475.00,2017-06-07,Completed
36916,1,650T5001,650T5001 [SPRING KEEPER FOR DHS-T] ,5,125.00,2018-03-08,Completed
87475,1,H323583,H323583 [INJECTION BUSHING],1,1575.00,2021-02-17,Completed
98555,1,Y132076,Y132076 [ELECTRODE PROBE CHROME],6,65.00,2021-11-15,Completed
47889,1,685R1002,685R1002 [ELECTRODE],12,57.00,2018-09-24,Completed
47889,2,685R1001,685R1001 [ELECTRODE ROD ],14,52.00,2018-09-24,Completed
103761,1,9X924601,9X924601 [BUSHING],2,545.00,2022-04-08,Completed
111417,1,624T0004,624T0004 [SPACER],1,185.00,2022-11-04,Completed
53156,1,Y057218,Y057218 [SHAFT],1,425.00,2018-12-25,Completed
115671,1,S661823,S661823 [SET SCREW ],4,27.50,2023-02-21,Completed
115671,2,TMT0009,TMT0009 [LINK PIN 2 EC610SX],1,425.00,2023-02-21,Completed
115671,3,TMT0008,TMT0008 [LINK PIN 1 EC610SX ],1,1455.00,2023-02-28,Completed
134330,1,N069222,N069222 [EJECTOR ROD],2,2375.00,2024-04-16,Completed
114786,1,647W6501,647W6501 [SLIDE PLATE (DC500CL-HT)],8,355.00,2023-01-25,Completed
114792,1,Y058255,Y058255 [NUT FOR GUIDE BAR],3,785.00,2023-01-25,Completed
104581,1,Y078748,Y078748 [NUT],2,45.00,2022-04-28,Completed
104581,2,Y078749,Y078749 [BUSHING],2,115.00,2022-04-28,Completed
46956,1,N049364,N049364 [LADLE SHAFT],2,1250.00,2018-08-17,Completed
145293,1,L771624,L771624 [NUT FOR BOOSTER CYLINDER M72],2,405.00,2024-12-13,Completed
145293,2,LKL0020,LKL0020 [TIE BAR NUT EC180N EC200SX] [TIE BAR EC180SX EC200SX 2764MM OAL],1,915.00,2024-12-13,Completed
145293,3,LML0112,LKL0020 [TIE BAR NUT EC180N,1,5215.00,2024-12-13,Completed
145293,4,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM],2,355.00,2024-12-13,Completed
71136,1,9X818901,9X818901 [BUSHING],2,775.00,2020-02-21,Completed
31512,1,Y037685,Y037685 [SLIDE BAR] ,2,910.00,2017-11-02,Completed
153368,1,236W0801,236W0801 [COUPLING DC3500CS],1,3995.00,2025-06-13,Completed
149456,1,Y026322,Y026322 [CYLINDER JOINT],1,195.00,2025-03-28,Completed
117258,1,Y071004,Y071004 [FLANGE],1,285.00,2023-03-30,Completed
135947,1,N079961,N079961 [JOINT BLOCK],1,995.00,2024-05-17,Completed
86227,1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],8,275.00,2021-01-18,Completed
86227,2,N002727,N002727 [SHAFT],1,925.00,2021-01-13,Completed
86227,3,9X976004,9X976004 [ROD JOINT],1,385.00,2021-01-13,Completed
86227,4,Y049547,Y049547 [CASE],1,275.00,2021-01-13,Completed
86227,5,Y015907,Y015907 [CASE GUIDE],1,437.00,2021-01-13,Completed
86227,6,Y052733,Y052733 [SPACER],1,185.00,2021-01-13,Completed
107705,1,N124500,N124500 [PLUNGER SLEEVE],4,2985.00,2022-07-26,Completed
80118,1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] ,2,2225.00,2020-08-11,Completed
85060,1,Y084104,Y084104 [BUSHING FOR SAFETY HOOK],2,165.00,2020-11-18,Completed
126126,1,3F0222,3F0222 [WELDMENT BRACKET],1,1870.00,2023-09-22,Completed
133259,1,624T0003,624T0003 [SPACER],2,205.00,2024-04-05,Completed
133259,3,637R2701,637R2701 [PIN],1,45.00,2024-04-05,Completed
133259,4,647W6501,647W6501 [SLIDE PLATE (DC500CL-HT)],4,375.00,2024-04-05,Completed
133259,5,H39579G01,H39579G01[COUPLING ],2,2375.00,2024-04-05,Completed
133259,7,Y007086,Y007086 [ STOPPER STAND ],1,150.00,2024-04-05,Completed
133259,8,Y037186,Y037186 [JOINT],1,195.00,2024-04-05,Completed
133259,9,Y102652,Y102652 [ELECTRODE ROD],2,60.00,2024-04-05,Completed
25349,1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T],5,47.50,2017-07-05,Completed
25407,1,Y003999,Y003999 [SPROCKET],5,125.00,2017-07-05,Completed
25407,2,Y019691,Y019691 [BUSHING],10,132.50,2017-07-05,Completed
25407,3,N013391,N013391 [SHAFT FOR POUR ASS'Y],2,475.00,2017-07-05,Completed
121675,1,Y026322,Y026322 [CYLINDER JOINT],1,155.00,2023-07-13,Completed
128645,1,648T7301,648T7301 [SPRING GUIDE FOR DHS-T],4,60.00,2023-12-22,Completed
73655,1,6W261903,6W261903 [BUSHING],1,1450.00,2020-03-09,Completed
59725,1,N072875,N072875 [LADLE ARM(SPECIAL FOR AHRESTY)],1,2675.00,2019-05-07,Completed
59725,2,637R3501,637R3501 [SPROCKET],6,110.00,2019-05-07,Completed
96626,1,469R8911,469R8911[BUSHING],2,2995.00,2021-09-30,Completed
96626,2,469R8909,469R8909 [TIE BAR BUSHING DC2500CS2],8,2560.00,2021-09-30,Completed
96626,3,6T157701,6T157701 [BUSHING],2,955.00,2021-09-30,Completed
96626,4,6T252401,6T252401 [BUSHING],2,1295.00,2021-09-30,Completed
96626,5,N073196,N073196 [BUSHING FOR DIECLAMP DQC],8,2075.00,2021-09-30,Completed
99515,1,N048833,N048833 [DOG],2,295.00,2021-12-13,Completed
35199,1,Y122756,Y122756 [EJECTOR ROD],1,775.00,2018-01-19,Completed
35199,2,Y122757,Y122757 [EJECTOR ROD],1,865.00,2018-01-19,Completed
90531,1,H39575G01,H39575G01[COUPLING],1,3275.00,2021-05-13,Completed
147255,1,L771624,L771624 [NUT FOR BOOSTER CYLINDER M72],1,405.00,2025-01-31,Completed
147255,2,M30,M30 [90593A017 HEX NUT],4,16.25,2025-01-31,Completed
147255,3,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM],1,355.00,2025-01-31,Completed
147255,4,TKM0053,TKM0053 [LINK PIN 1 FOR ECN ECNII 220 240],2,625.00,2025-01-31,Completed
147255,5,TKM0054,TKM0054 [LINK PIN 2 EC240N],2,475.00,2025-01-31,Completed
147255,6,TMW0218,TMW0218 [BRACKET],4,300.00,2025-01-31,Completed
100678,1,H323582,H323582 [INJECTION BUSHING DC650JMS],1,1235.00,2022-01-12,Completed
92468,1,45X47,45X47 [ SHAFT SPACER ],1,55.00,2021-05-18,Completed
85666,1,N060284,N060284 [STOPPER FOR SAFETY HOOK],1,485.00,2020-12-04,Completed
85666,2,N060281,N060281 [SAFETY HOOK],1,1750.00,2021-01-01,Completed
45873,1,609T1801,609T1801 [KEY],6,135.00,2018-08-03,Completed
94596,1,9X976004,9X976004 [ROD JOINT],2,385.00,2021-07-29,Completed
120027,1,L698749,L698749 [PACKING RETAINER FOR INJECTION IS I59 I81] L698749 [PACKING RETAINER FOR INJECTION IS I59 I81],1,1575.00,2023-05-05,Completed
122156,1,45X28,45x28 [SHAFT SPACER],1,45.00,2023-07-24,Completed
122156,2,6S331803,6S331803 [SPROCKET FOR DTO650~800L],3,395.00,2023-07-26,Completed
33715,1,Y157511,Y157511 [EJECTOR ROD] ,5,875.00,2017-12-15,Completed
106037,1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT],1,2225.00,2022-06-13,Completed
46407,1,695T7001,695T7001 [SCREW ROD],1,500.00,2018-08-16,Completed
146375,1,603S8303,603S8303 [JOINT FOR SPRAYER DC500JMS],1,320.00,2025-01-10,Completed
154765,1,N02477G03,N02477G03 [GUIDE SHAFT],1,1625.00,2025-07-11,Completed
98409,1,H323581,H323581 [INJECTION BUSHING],2,1875.00,2021-11-10,Completed
43225,1,N02477G03,N02477G03 [GUIDE SHAFT],2,1550.00,2018-07-11,Completed
115077,1,S510111,S510111 [TIE BAR NUT ISF ISGS ISDF] S510111 [TIE BAR NUT ISF ISGS ISDF],1,945.00,2023-02-09,Completed
139589,1,Y003999,Y003999 [SPROCKET],3,135.00,2024-08-06,Completed
43231,1,H324098,H324098 [HOLDER],1,3750.00,2018-06-27,Completed
98345,1,N069221,N069221 [EJECTOR ROD DC2500CS2],1,2250.00,2021-11-08,Completed
98345,2,N069222,N069222 [EJECTOR ROD],1,2250.00,2021-11-08,Completed
138681,1,362X6102,362X6102 [BUSHING],2,2320.00,2024-07-26,Completed
138681,2,362X6101,362X6101 [BUSHING],2,2320.00,2024-07-26,Completed
138681,3,393T2401,393T2401 [ INJECTION COUPLING DC650REM],1,2755.00,2024-07-26,Completed
138681,4,414R8312,414R8312[BUSHING],2,2595.00,2024-07-26,Completed
43227,1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],2,250.00,2018-06-13,Completed
77196,1,4T122502,4T122502 [LEFT SCREW BOLT],4,45.00,2020-05-29,Completed
58175,1,9W4210G02,9W4210G02 [COOLING PIPE],3,335.00,2019-03-28,Completed
63685,1,N064799,N064799 [SHAFT],1,775.00,2019-07-31,Completed
63685,2,Y052732,Y052732 [CASE],2,275.00,2019-07-31,Completed
146377,1,656T5702,656T5702 [LOCK PLATE],1,215.00,2025-01-10,Completed
146377,2,6W429001,6W429001 [ PLATE ],1,195.00,2025-01-10,Completed
144206,1,Y033451,Y033451 [SHAFT],1,775.00,2024-10-31,Completed
144206,2,Y020058,Y020058 [P SQUARE KEY],1,75.00,2024-10-31,Completed
144206,3,H308725,H308725 [FLANGE],1,1975.00,2024-10-31,Completed
156616,1,699E1901,[EJECTOR PIN 22MM HEX M16X456MM OAL EC110SX],2,135.00,2025-08-22,Completed
83995,1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],6,275.00,2020-11-25,Completed
124280,1,S536680,S536680 [CLAMP WEAR STRIP ISGT720 3523MM OAL],2,725.00,2023-09-21,Completed
24519,1,N064799,N064799 [SHAFT],2,775.00,2017-06-15,Completed
24519,2,Y006297,Y006297 [PIN],1,187.50,2017-06-15,Completed
84977,1,N127433,N127433 [SHAFT FOR SAFETY HOOK],2,765.00,2020-11-17,Completed
84977,2,N060284,N060284 [STOPPER FOR SAFETY HOOK],1,485.00,2020-11-17,Completed
104805,1,647W5603,647W5603 [SLIDE PLATE FOR DC350J],4,375.00,2022-05-10,Completed
63134,1,609T2110,609T2110 [BUSHING],1,425.00,2019-07-23,Completed
35366,1,654V2701,654V2701 [FLANGE ( B )] ,1,475.00,2018-01-12,Completed
124519,1,637R4101,637R4101 [BUSHING],4,275.00,2023-09-08,Completed
33071,1,Y030066,Y030066 [ROD JOINT] ,1,315.00,2017-12-11,Completed
45871,1,9X541001,9X541001 [KEY],4,64.00,2018-08-13,Completed
127038,1,Y092207,Y092207 [NUT CAP FOR EJECTOR CYLINDER],1,225.00,2023-11-10,Completed
127038,2,Y092206,Y092206 [NUT FOR EJECTOR PISTON],1,340.00,2023-11-10,Completed
69357,1,637R3501,637R3501 [SPROCKET],3,110.00,2019-11-26,Completed
141626,1,S328315,S328315 [CLAMP WEAR STRIP IS3300DE DF 5826MM X 152MM],2,1875.00,2024-09-20,Completed
141626,2,S677759,S677759 [CLAMP WEAR STRIP 3806 X 178MM ISDG 1450],2,530.00,2024-09-20,Completed
141626,3,S576432,S576432 [CLAMP WEAR STRIP ISG90],1,195.00,2024-09-20,Completed
24900,1,9W4210G02,9W4210G02 [COOLING PIPE],1,335.00,2017-06-28,Completed
24900,2,624T0004,624T0004 [SPACER],1,185.00,2017-06-28,Completed
92318,1,608R2201,608R2201 [LOCK PLATE],6,155.00,2021-06-04,Completed
92318,2,408S4503,408S4503 [ HAND ],1,599.00,2021-06-04,Completed
92318,3,408S4504,408S4504 [HAND],1,599.00,2021-06-04,Completed
158405,1,Y006298,Y006298 [BEACASE],1,350.00,2025-09-26,Completed
88426,1,Y052726,Y052726[SPROCKET],2,470.00,2021-03-10,Completed
88426,2,N031988,N031988 [SHAFT],2,595.00,2021-03-10,Completed
149508,1,686E1606,686E1606 [BUSHING F/ LINK PIN 2 SMALL EC390SX SXII SXIII],4,480.00,2025-03-28,Completed
149508,3,TKR0054,TKR0054 [LINK PIN 2 FOR ECN ECNII 350 390],4,395.00,2025-03-28,Completed
149508,4,TMM0026,TMM0026 [LINK PIN 1 FOR EC250SX SXII],2,765.00,2025-03-28,Completed
40538,1,4T123401,4T123401 [LADLE PIN] ,1,63.00,2018-04-27,Completed
154217,1,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM],1,355.00,2025-06-27,Completed
86345,1,N050619,N050619 [COUPLING DC350JM- S/MH & DC500CLHT] ,1,2225.00,2021-01-01,Completed
134291,1,637R4912,637R4912 [KEY],1,50.00,2024-04-16,Completed
134291,2,Y152202,Y152202 [SLIDE PLATE DC350R- M],2,315.00,2024-04-16,Completed
40289,1,625W1701,625W1701 [LINK PIN BUSHING] ,8,625.00,2018-03-26,Completed
70410,1,N031988,N031988 [SHAFT],1,595.00,2019-12-18,Completed
70410,2,Y033616,Y033616 [SHAFT],1,520.00,2019-12-18,Completed
70410,3,Y052730,Y052730 [SHAFT],1,395.00,2019-12-18,Completed
70410,4,Y052725,Y052725[SPROCKET],1,185.00,2019-12-18,Completed
70410,5,Y052726,Y052726[SPROCKET],1,470.00,2019-12-18,Completed
70410,7,Y049547,Y049547 [CASE] ,1,275.00,2019-12-18,Completed
85857,1,Y026064,Y026064[GUIDE SHAFT],2,75.00,2020-12-15,Completed
107707,1,Y033453,Y033453 [ADJUSTING SHAFT],1,635.00,2022-07-12,Completed
50887,1,Y157511,Y157511 [EJECTOR ROD],4,875.00,2018-10-30,Completed
103549,1,Y026322,Y026322 [CYLINDER JOINT] ,1,155.00,2022-04-05,Completed
105886,1,6S331501,6S331501 [BEARING STOPPER],1,175.00,2022-05-30,Completed
96988,1,Y095286,Y095286 [RETAINER],8,395.00,2021-10-01,Completed
96988,2,Y091978,Y091978 [GUIDE],4,195.00,2021-10-01,Completed
31510,1,9X3526G01,9X3526G01 [LADLE ARM (3-2)] ,1,1325.00,2017-10-31,Completed
123666,1,N069896,N069896 [DOOR RAIL DC2500CS-2],1,975.00,2023-08-30,Completed
27428,1,614W8001,614W8001 [SENSOR HOLDER FOR DHS-2 & DHS-T] ,5,45.00,2017-08-11,Completed
98557,1,9X352701,9X352701 [FLANGE],1,475.00,2021-11-25,Completed
98557,2,654V2701,654V2701 [FLANGE ( B )],1,475.00,2021-11-25,Completed
103005,1,Y015907,Y015907 [CASE GUIDE] ,1,437.50,2022-03-18,Completed
27819,1,9X352701,9X352701 [FLANGE] 9X352701 [FLANGE],1,475.00,2017-08-04,Completed
143435,1,TMM0026,TMM0026 [LINK PIN 1 FOR EC250SX SXII] TMM0026 [LINK PIN 1 FOR EC250SX SXII],2,765.00,2024-11-01,Completed
94379,1,635W1101,635W1101[LINK PIN],2,1275.00,2021-07-26,Completed
94379,2,635W1201,635W1201 [SPECIAL KEY],2,240.00,2021-07-26,Completed
94379,3,609T1003,609T1003 [LINK PIN BUSHING],4,515.00,2021-07-26,Completed
53154,1,Y004672,Y004672 [GIB SUPPORT FOR DP50LU],2,375.00,2018-12-25,Completed
40128,1,H323581,H323581 [INJECTION BUSHING] ,1,1875.00,2018-04-13,Completed
41578,1,680V8201,680V8201 [POPPET],1,1750.00,2018-05-24,Completed
57468,1,N024123,N024123 [FLANGE-H],2,750.00,2019-04-02,Completed
47848,1,640R4701,640R4701 [WEDGE],1,500.00,2018-09-17,Completed
47848,2,640R4902,640R4902 [SHAFT],1,825.00,2018-09-17,Completed
67226,1,9W331104,9W331104 [GUIDE SHAFT DBS500~800MS],2,2200.00,2019-10-16,Completed
88787,1,N02477G03,N02477G03 [GUIDE SHAFT],1,1550.00,2021-03-09,Completed
149865,1,S576705,S576705 [NUT FOR CLAMP M72X2 105MM X 23MM],2,355.00,2025-03-28,Completed
134118,1,Y080798,Y080798 [DOOR ROLLER],8,285.00,2024-04-12,Completed
