PO_Number,Date,Vendor_Name,Description,Quantity
093016-01,9/30/2016,PRECISE ROTARY DIE,N037295 PISTON SHORT | MATERIAL  CAST IRON (SECOND) 1 ea | 2 OD GRINDINGS | 240e7 (9.4448 // 9.4440 //9.4431) | 150e7 (5.9022 // 5.9015 // 5.9006) 350/ea,1
052617-02,5/26/2017,PRECISE ROTARY DIE,P/N 414S3701 | MATERIAL : SPROCKET BLANK 5ea | CUT 7 x 3 MM Key per Drawing and DXF,5
020419-01,2/4/2019,PRECISE ROTARY DIE,N069972 FLANGE | MATERIAL : 1018 2 ea | OD and ID only | 35H8  ID (1.3795 // 1.3787 // 1.3780 ) 1.3787 +/- .0005 | 230f6 OD (9.0531 // 9.0526 // 9.0520 ) 9.0526 +/- .0005 | PLEASE INDICATE SMALL STEP AND FACE FOR Axial and Radial runout),2
010918-02,1/9/2018,"NOVA CHROME Inc,",Parts are coming from Delta Grinding (with no papers) | P/N N02477G01  TUBING | MATERIAL: 1026 | FLASH CHROME | PLATING .0002 to .0003 THICK (per side) | ONLY ON THE OD  - NOT ON THE THREAD IF POSSIBLE) 3ea | NO CERTS,3
062623-01,6/26/2023,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  TML0026  LINK PIN 2.75 Rd x 16.9 4 ea | P/N TML0038 LINK PIN 2.0 Rd x 5.63 3 ea | Quench and temper to   56 Rc   +/- 2 | No certs,7
051514-01,2/15/2014,(Chicago Grinding),MATERIAL  :  440C (28 RC) | FACE GRINDING  from .88  to .864 +/- .001  SUFACE TEXTURE  0.8 (metric) | Please try to grind equaly from both sides | PLEASE SIGN THE COPY  AND RETURN,2
071024-01,7/10/2024,"ADVANCED CUSTOM METALS, Inc.",P/N S478872 BRACKET | Material 1018 2 ea | Please bend 3x 90 Deg per drawing with Minimum internal radius,2
041817-05,4/17/2017,PRECISE ROTARY DIE,I need 4 Rush Please | P/N N064799 SHAFT | MATERIAL : 4130  56Rc 10 ea | 3 step grinding ALL  @ 3.2 Texture | OD  25e7 .9827 //.9823//.982)  @ 3.2Texture 75/ea | OD 40e7  (1.5728 // 1.5723 // 1.5720 ) | OD 30h6  ( 1.1810  // 1.1808 // 1.1806 ) | 4 pcsRUSH please,4
062623-01,6/26/2023,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  TML0026  LINK PIN 2.75 Rd x 16.9 5 ea | P/N TML0038 LINK PIN 2.0 Rd x 5.63 2ea | Quench and temper to   56 Rc   +/- 2 | No certs,7
092614-01,9/26/2017,GENERAL  SURFACE  HARDENING,ONE MORE RUSH PLEASE !!! | MATERIAL  :H13 | P/N  9W306303 LINK PIN | HARDEN   to 44-48 Rc 9ea | No certs,9
052218-03,5/22/2018,DELTA GRINDING,611V6701 ELECTRODE | Need OD Grinding  TO  .787 +/- .002,60
091317-01,9/13/2017,ACE SANDBLAST,P/N : 5/16 x 1.5 x1.5 PLATES WITH HOLE 150 ea,150
072417-01,7/24/2017,ACE SANDBLAST,P/N : 3/16 x 100x1.28 L Profile  Brackets WITH HOLE  55 ea,55
061317-01,6/13/2017,PRECISE ROTARY DIE,MATERIAL  : 4140  AN 4 ea | H319551 TURNING 4 ea 225/ea | CLEAN ENDS TO 16.65 (JUST CLEAN CAREFULY - PARTS ALMOST IN SIZE) | DRILL AND ID TURN TO  4.600 /4.625 IN DIAM Equaly from both ends | OD 7.360  - 7.380 IN DIAM  .02 /.03  CHAMFER ALL OVER,4
071917-01,7/19/2017,ACE SANDBLAST,P/N : 5/16 x 1.5 x1.5 PLATES WITH HOLE 150 ea,150
013125-01,1/31/2025,MEXICALI HARD CHROME Co,MATERIAL  : 4140 PH | H204815 TIE BAR | GRIND 5 STEPS PER PRINT | ALL DIMENSIONSON THE PRINT  ARE GOOD FOR PLATING 1 ea | Chrome Plate .0005  Wall | Please polish after /Also Please Please RUSH  Thank you,1
101519-01,10/15/2019,Skild Plating Co.,Material 304 SS | P/N  LS1150285-LINKAGE | PASSIVATE PER ASTM A967 OR SAE AMS2700 with hexavalent cromium free | process | CERT REQUIRED PLEASE,27
091818-01,9/18/2018,GENERAL  SURFACE  HARDENING,ASAP   Please | MATERIAL  : 410 SS AN | Hardened  23-28 Rc | Please test on the ends of the unfinished surfaces (saw cut surfaces @ ends) | NO CERTS,25
081919-01,8/19/2019,PRECISE ROTARY DIE,P/N 396W7701 SHAFT 1 today | MATERIAL : 4140 PH 1 tomorrow | 28g6  = (1.10211 // 1.1018 // 1.1016)in   (1.1018)  small end 125/ea,2
041116-01,4/9/2016,GENERAL  SURFACE  HARDENING,RUSH RUSH PLEASE | MATERIAL  :420 SS AN | 1.75 DIA X11.1/4 - (P/N N024127 5 ea) | 1.75 DIA x 12.5/16 (P/N N024126 5ea) 10 ea | QUENCH AND TEMPER TO 28-32 RC | Please RUSH and call when ready! | NO CERTS,5
032118-03,3/21/2018,ATOMOWELD INC,MATERIAL  : BRONZE FILL UP | Y047350 SHAFT | Material it is 4140 PH 30 Rc,2
010219-01,1/2/2019,PRECISE ROTARY DIE,P/N Y057218 SHAFT | MATERIAL : DOM 2 ea | GRIND TO  .7080  -.0005 .7080 /.7075 | Parts go for Plating,2
010219-02,1/2/2019,PRECISE ROTARY DIE,P/N 609T0501 LINK | MATERIAL : A36   ABOUT .016 Stock 1ea | Please Grind ABOUT .008 THE KEY SIDE FIRST | GRIND TO  2.034 // 2.030,1
010224-01,1/2/2024,DELTA GRINDING,8725238 PIN | .394 Diam  x .44 | Need OD Grinding  TO  .3753 // .3751                                    .3752+/- .0001 6117 ea,6117
010317-01,1/3/2017,PRECISE ROTARY DIE,MATERIAL IS COMING TODAY(1/03/2017) FROM ALRO | MATERIAL  : 4140  AN 2 ea | H319551 TURNING 3 ea 250/ea | CLEAN ENDS TO 16.65 (JUST CLEAN CAREFULY - PARTS ALMOST IN SIZE) | DRILL AND ID TURN TO  4.600 /4.620 IN DIAM Equaly from both ends | OD 7.360  - 7.380 IN DIAM  .02 /.03  CHAMFER ALL OVER | 1 returned due to the length,3
010318-01,1/3/2018,"NOVA CHROME Inc,",P/N 7710781 VALVE | MATERIAL: 1141 -32 Rc | FLASH CHROME | .00005 to .0001 | Kevin Max  .0001  will be Ok  (one tenth of a thousand Max) 50 ea | Please don t ove coate (I have critical dimension on OD _0.9980 -0.9985  Max) | Cartification Required Please,50
010318-01,1/3/2018,DELTA GRINDING,7710781 VALVE | Need OD Grinding  TO .9980 /.9983 50 ea | PARTS GO TO NOVA CHROME  AFTER,50
010318-02,1/3/2018,DELTA GRINDING,Y157511 SHAFT | Need OD Grinding  TO 1.100 +/- .001 8 ea,8
010319-01,1/3/2019,"NOVA CHROME Inc,",P/N Y057218 SHAFT | MATERIAL: DOM | HARD CHROME OD ONLY | .0003 to .0004 THICK (per side) | NO CERTS,2
010417-01,1/4/2017,PRECISE ROTARY DIE,MATERIAL  1010 | CLEAN BOTH SIDES : 155 ea | TO .175 +/-.003     (.180 / .170 OK) | About .004 per side,155
010417-02,1/4/2017,PRECISE ROTARY DIE,MATERIAL  4140  (23 RC) P/N H319551 _GRINDING | 185g6 OD ALL OVER (AT 0.8 TESTURE)    7.2829/7.2817   || MID DIM (7.2823) || 1ea | 125H8 ID (AT 0.4 SURFACE TEXTURE 4.9237/4.9213  || MID 4.9225 || | 120H7 ID (AT 0.8 TEXTURE) 4.7258/4.7244  || MID 4.7253 ||,1
010418-01,1/4/2018,PRECISE ROTARY DIE,MATERIAL  : 4140  PH | N073037-SHAFT (5 ea) 75/ea | 2 STEPS OD GRINDING ONLY CONCENTRIC .001  WITH ID 25 MM (.9850) | OD 35h6 (1.3780 // 1.3776 // 1.3773 )  (  1.3776 +/- .0003) | OD 50js6 (1.9688  // 1.9685 // 1.9682)  (1.9685  +/- .0003),5
010421-01,1/4/2021,PRECISE ROTARY DIE,MATERIAL  :A36 | H303744 PLATE 2 ea | NOW AT 1.595 ( ABOUT .009 FROM EACH SIDE) | GRIND TO 1.5748  /1.5733   @ 0.8 RA (Surface Texture) | Final dimension 1.5740 +.0008 / -.0007,2
010517-01,1/4/2017,PRECISE ROTARY DIE,MATERIAL  4140  (28 RC) P/N N086441 _GRINDING | OD GRINDING ONLY 1ea | N O T E: PLEASE DO NOT CHAMFER ID ON THE 95 MM DIAM  NO MARKS ALLOWED | THAT IS A VALVE EDGE | 140g6 mm- (5.5113 // 5.5108 // 5.5103 IN OD ) | ******************5.5103 +/- .0005,1
010521-01,1/5/2021,PRECISE ROTARY DIE,MATERIAL : 4140 PH  28 Rc 1ea | 4 Step OD grinding | STEP 1  -110js6  ( 4.3311 //4.3307 // 4.3303 ) 4.3307 +/- .0003 150/ea | STEP 2-  85js6    ( 3.3469 // 3.3465 // 3.3460) 3.3465 +/- .0004 | STEP 3 -60h6 ( 2.3622 // 2.3618 // 2.3615) 2.3618 +/- .0003 | STEP 4 -52h7 ( 2.0472 // 2.0467 // 2.0461 )                                      2.0467 +/- .0005,1
010521-01,1/5/2021,GENERAL  SURFACE  HARDENING,MATERIAL  : 4140 AN | P/N  637R3601 SHAFT 18 ea | Quench and temper to 30 Rc  +/- 2 | NO CERTS,18
010523-01,1/5/2023,DELTA GRINDING,N090091/92 SHAFT 8ea | 388W4511/12 SHAFT 5  ea | Need OD Grinding  TO 1.6530 /1.6510,13
010620-01,1/6/2020,PRECISE ROTARY DIE,MATERIAL  : 4140  25 Rc (P/N N089679-FLANGE-FINISHING) | Finish per DWG N089679-FINISH | Turning and ID grinding only 1000/ea | No drilling,2
010620-01,1/6/2020,PRECISE ROTARY DIE,MATERIAL  : 4140  25 Rc (P/N N089679-FLANGE-FINISHING) | Finish per DWG N089679-FINISH | Turning and ID grinding only 1000/ea | No drilling,2
010623-01,1/6/2023,GENERAL  SURFACE  HARDENING,MATERIAL  :4140 AN | P/N  N064799 SHAFT 13 ea | Harden to 45 Rc +/- 2 | No certs,13
010721-01,1/7/2021,Skild Plating Co.,"Material  304 SS | P/N LSDT0124  ADJUSTMENT SCREW | FINIS  : PASSIVATION | 5.4.1 Clean and passivate, AMS 2700 or ASTM A967 (clean ASTM A380) 54 ea | CERT REQUIRED PLEASE",54
010722-01,1/7/2022,DELTA GRINDING,N069221 1 ea | N069222 1 ea | Need OD Grinding  TO 1.929 / 1.926   & 0.6 Ra,2
010725-01,1/7/2025,PRECISE ROTARY DIE,P/N N073299 POPPET  (REPEAT JOB: | MATERIAL : 4130  56Rc CASE HARDEN ea | 3 step grinding | ID 105H8  (4.136 // 4.1350 // 4.1340)  @ 3.2Texture 4.1350 +/- .0005 200 / ea | OD 35e7  (1.3760 // 1.3755 // 1.3750 )  @ 0.8 Texture 1.3755 +/-.0005 | OD 129.90 / 129.88 MM  @ 0.4 Txt (5.1140 // 5.1134) 5.1137 +/- .0003,1
010825-01,1/8/2025,HOPKINS MACHINE CORP,"MATERIAL  :4140 PH | P/N  LMT0000 TIE BAR 2 ea | COMPLETE PER PRINT WITH -.003 /-.004  in FOR THE CHROME PLATED ""Z"" AREA | 160e7 DIMENSION 2 pl | DWG IS ASKING FOR 10 microns plating (will do .002 Wall )",2
010825-01,1/8/2025,PRECISE ROTARY DIE,P/N N073298 PISTON HEAD | MATERIAL : 4140 PH  28 Rc 1 ea | 50H9  (1.9709 // 1.9697 //1.9685 1.9697 +/- .0005 | 135H7 (5.3165 // 5.3157 // 5.3150) 5.3157 +/- .0005 175/ea | 185g6  (7.2829 // 7.2823 // 7.2817) 7.2823 +/- .0005 | All concentric with .001 with 50 MM bore (Finished to size) 1.9700,1
010825-02,1/8/2025,PRECISE ROTARY DIE,P/N N073297 PISTON | MATERIAL : 4140 PH  28 Rc 1 ea | 50 -.1/-.2  (1.965 // 1.9605         @ 3.2 Texture 1.9630 +/-.002 | 50e7  (1.9665 // 1.9660 //1.9656 )  @ 0.4 Texture 1.9660 +/- .0005 150/ea | 135e7  (5.3116 // 5.3108 // 5.3100)       @ 0.4 Texture 5.3108 +/- .0005,1
010825-03,1/8/2025,PRECISE ROTARY DIE,P/N 408S3406 BUSHING | MATERIAL : GRAY CAST IRON 20 pcs | ID  (now at 1.655 +/- .0015) | ID GRINDING TO 1.6610 /1.6590    @  3.2  TEXTURE 25/ea,20
010825-04,1/8/2025,PRECISE ROTARY DIE,P/N H335892 PLATE | MATERIAL : 440C  -  28 Rc 1 ea | HARDENING TO 50 Rc  2 IN CIRCLE AROUND THE PEAR SHAPE 100/ea,1
010918-01,1/9/2018,DELTA GRINDING,N02477G03 | Need OD Grinding  TO 1.1795 /1.1800 3ea | Parts go to Nova Chrome,3
010919-01,1/10/2019,PRECISE ROTARY DIE,P/N N049364 SHAFT (2 step grinding) | MATERIAL : H13 - 45 Rc 5 ea | 25e7 mm (.9827 // .9823 // .9819 )                     .9823 +/- .0003 | 20g6 mm (.7871 // .7869 // .7866 )                      .7869  +/- .0002,5
010920-01,1/9/2020,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  N036472 POPPET | OUTSIDE LOCAL CASE HARDENING PER PRINT  TO 52 +/- 2 Rc  1/16 DEEP MIN 1 ea | NO CERTS!,1
010920-02,1/9/2020,Rockford Heat Treaters,MATERIAL  :4140 -30-32 Rc (Q andT) | P/N 625W1702 BUSHING 19 ea | PARTS ARE QUENCH AND TEMPERED  @ 30 /32 Rc  now | GAS Nitride Harden to MAX  if  possible (62-67 Rc at .01 to .015 in deep) | PLEASE STOCK THEM ON THE FLAT SIDE | NO CERTS JUST THE DELIVERY TICKET WITH THE TESTING RESULTS,19
010925-01,1/9/2025,F & S Complete Grinding,P/N H335892 PLATE 30MM thick | MATERIAL : 440C  32 Rc 1 ea | 2 SIDE GRINDING  TO: | 30+0 /-.03 MM   (1.1811 /1.1799)                                              1.1805 +/-.0006,1
010925-01,1/9/2025,HOPKINS MACHINE CORP,MATERIAL  : 304 SS | P/N  H335891 PLATE 1 ea | PLEASE FINISH DRILLING ON THE SIDES .328/.344 Drill | each one to specific dept marked on the print | Also on the right view of the part we need 2 x M6x1 tap  (.200 Drill we wil tap them) | and 2x  .328/.344 Drill  to specified depth on the print untill they cross  the side holes | Please consider the stock for the holes locations,1
010925-01,1/9/2025,F & S Complete Grinding,P/N H335892 PLATE 30MM thick | MATERIAL : 440C  32 Rc 1 ea | 2 SIDE GRINDING  TO: | 30+0 /-.03 MM   (1.1811 /1.1799)                                              1.1805 +/-.0006,1
011019-01,1/10/2019,DELTA GRINDING,N072802-4ea | Need OD Grinding  TO 1.6530 /1.6510,4
011019-02,1/10/2019,DELTA GRINDING,Y029070 BRASS | Need OD Grinding  TO 1.2185 // 1.2175,6
011022-01,1/10/2022,Skild Plating Co.,Material  303 SS | P/N  10656930 ADAPTER REV A 250 ea | PASSIVATE PER IAW ASTM A967 -DO NOT USE NITRIC 1 SOLUTION | CERT REQUIRED PLEASE,250
011022-01,10/16/2018,PRECISE ROTARY DIE,P/N 236W08 BLANK | MATERIAL :4140 PH 1 ea | DRILL THRU   - CLEAN UP OD TO  12.5  SIDE ABOUT .1 350/ea | BORE TO 5.4 | TURN PART AND INDICATE  .005 to  0.00 | AND CLEAN SIDE TO  10.80,1
011023-01,1/10/2023,GENERAL  SURFACE  HARDENING,MATERIAL  :416  SS | Cartification Required!,155
011116-01,1/11/2016,PRECISE ROTARY DIE,P/N H331214 PLATE | MATERIAL :A36 2 ea | 2 SIDES GRINDING (.01 STOCK ON EACH SIDE) | FINISH DIM 30 MM -.05 (1.1810 / 1.1790 ) 1.1800 +/- .001   MAKE 1.1800,2
011116-02,4/24/2017,PRECISE ROTARY DIE,P/N N104842 PLUNGER | Material 4140 PH 2 ea | Drill 30mm 1.180  in diam   (+/-.015) | JUST 1 PASS OF .015 /.025  TO CLEAN THE ENDS 300/ea,2
011116-02,1/11/2016,PRECISE ROTARY DIE,P/N Y074206 POPPET | MATERIAL : 4130 -  56 Rc Case H 2 ea | OD 42.990 /42.985  (1.6925 /1.6923) 1.6924 +/- .0001  @  0.4 Texture 150 / ea | ID 28H8 (1.1037 // 1.1030 // 1.1024 ) @ 3.2 Texture,2
011118-03,1/11/2018,"Expert Metal Finishing, Inc",P/N :12364289-HOLDER | MATERIAL 4140  -26-35 Rc | CERTIFICATION REQUIRED,865
011118-03,1/11/2018,"Expert Metal Finishing, Inc",P/N 9377813 LINK | Material 303 SS | Finish : NO 3.3.4 of MIL-STD-171 | CLASS 4 ALKALINE OXIDIZING PROCESS  (Inorganic Black Oxide) | CERTIFICATION REQUIRED,614
011120-01,1/11/2020,PRECISE ROTARY DIE,"P/N N01946 GUIDE | MATERIAL : CAST IRON 1ea | 2 STEP GRINGING | ID 110H7  (4.3321 // 4.3314 // 4.3307)  @ 3.2Texture  (4.3314  + .0005) 140 / ea | OD 160g6 ( 6.2987 // 6.2982 //6.2977 ) @ 0.8 Texure    (6.2982 +/- .0005) | BOTH CONCENTRIC WITHIN .001 WITH 30mm (1.182 ID) | ""OD""  CAN BE REFFERENCE FOR ID GRINDING",1
011123-01,1/11/2023,PRECISE ROTARY DIE,P/N 3W543601-EJECTOR | MATERIAL : 4140 28 Rc 2ea | 2 STEP GRINDING | 120e7 mm      ( 4.7206  /4.7192  )    for chrome plate 4.7200 -.0005 | 220e7 mm (8.6575 // 8.6565 // 8.6557 ) 8.6565 +/- .0005 200/ea | PLEASE FILE THE SHARP CORNERS  .005/.010 MAX. | (Parts go to Chrome Plate please call when ready ) | Please save the skid and pack the same way it was received,2
011123-02,1/11/2023,PRECISE ROTARY DIE,P/N H306463 PLATE | MATERIAL : A36 1ea | GRIND TO 1.5735 /1.5730  +0 /-.0005,1
011124-01,1/11/2024,DELTA GRINDING,N069221 2 ea | Need OD Grinding  TO 1.929 / 1.926   & 0.6 Ra,2
011124-02,1/11/2024,DELTA GRINDING,12274768-2 PIN | Need HEAD OD Grinding  TO  .998 / .997 306 ea | Note:,306
011217-01,1/11/2017,PRECISE ROTARY DIE,P/N Y095822 SHAFT (2 step grinding) | MATERIAL : 4140 PH 28 Rc 3 ea | 55h6 mm (2.1654 // 2.1650 // 2.1646) | 50h6 mm (1.9685 // 1.9682 // 1.9679) 60/ea,3
011217-01,1/12/2017,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  97027645 BUSHING MACHINE | HARDEN  TO 35 - 40 Rc (carfuly handle please; to prevent thread damaging) 33 ea | CLEAN AFTER IF NEEDED (thin blast please ) | CERTS REQUIRED,33
011217-01,1/12/2017,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  7027645 BUSHING MACHINE | HARDEN  TO 35 - 40 Rc (carfuly handle please; to prevent thread damaging) 33 ea | CLEAN AFTER IF NEEDED (thin blast please ) | CERTS REQUIRED,33
011217-02,1/12/2017,GENERAL  SURFACE  HARDENING,MATERIAL  : 4130 AN | P/N  N086440 POPPET | CASE HARDEN TO 56 Rc x MIN . 1/16 DEEP  ALL OVER EXCEPT THE 2 GROOVES 3 ea | NO CERTS,3
011317-01,1/13/2017,GENERAL  SURFACE  HARDENING,MATERIAL  : 1018 | P/N  10861777 BLEEDER VALVE REV-B | CARBURIZE AND HARDEN  TO EFFECTIVE DEPTH  OF .040 TO .050 IN. AT RC 50 32 ea | SURFACE HARDNESS SHAL BE ROCKWELL ISN 85.5 THRU ISN 87.9 | CLEAN AFTER IF NEEDED | CERTIFICATION REQUIRED PLEASE,32
011319-02,1/13/2019,DELTA GRINDING,Y157511 SHAFT 6 ea | Need OD Grinding  TO 1.100 +/- .001 | NO RUSH,6
011320-03,1/13/2020,To Pro Tec Metal Finising Co,"P/N 12304762 SHAFT  (MATERIAL 303 Stainless Steel) | FINISH : BLACK OXIDE PER 3.3.4 of MIL -171 | Black oxide per MIL-DTL-13924, Class 4 (alkaline oxidizing process) | Certificate please! (Part Nr and Part Name included in CERT. And FINISH) | Beniamin Grama",254
011321-01,1/13/2021,Skild Plating Co.,"Material: NAS1352N4-16 .250 -20 x 1.00 HEAT RESISTING STAINLESS STEEL SCREW | P/N 12991295 SCREW ,CAPTIVE -THRU | PASSIVATE PER QQ-P-35 ,EXCEPT USE TYPE VII | CERT REQUIRED PLEASE",250
011518-01,1/15/2018,PRECISE ROTARY DIE,P/N 362X2701-02 | MATERIAL :H13 65 Rc 2ea | SIDE GRINDING | 15 mm .5905 // .5898 50/ea | SHOULDER THICKNESS | KEEP SHARP CORNER FOR ID,2
011519-01,1/15/2019,DELTA GRINDING,Y026064 SHAFT | Need OD Grinding  TO .5505 /.5509 5 ea,5
